-207.06918 96.40121 -14.598224 20.062801 6.3384247 6.353751 -13.931042 -10.699241 2.212451 23.878014 37.962887 28.09443 7.920965 -16.561785 -27.88896 -18.171648 2.5507495 14.846187 12.723514 8.133075,0
-319.33035 66.85895 -0.72322387 11.058795 -19.53639 -7.744528 -17.52156 0.60042626 6.7437167 21.749966 18.346668 16.250423 6.0767074 -5.3014154 -14.34145 -8.950374 4.612741 18.895948 18.519861 13.017249,1
-302.49384 110.33472 -2.6496475 28.538958 24.220427 16.869389 -1.7236029 -3.7120614 -5.38085 2.5868342 -1.4587884 -2.391093 -4.4168725 -5.39221 -3.4889083 0.70325613 9.487457 13.02293 16.357628 20.688654,1
-332.42123 125.77223 -50.540295 -16.13064 -9.024765 -6.8072534 -7.110863 -11.548448 -8.367303 -19.569332 -24.088734 -17.17885 -12.30889 -9.66824 -11.946365 -14.766632 -5.3371115 13.513729 31.388355 45.650066,3
-299.4865 178.53516 8.819816 8.183495 11.945581 -4.2390857 -8.6433 -6.5864906 -5.7850986 -11.333667 -12.1844225 -5.8027644 -7.8267837 -12.199448 -4.4891787 -2.8533194 1.5779307 3.4226203 -6.4577284 -6.01072,5
-300.7767 136.86703 -21.953497 14.344238 3.4260268 -10.368299 -7.0091896 -6.173999 -2.0684373 -0.7720453 -6.01254 -6.393296 -1.5229961 -6.8346887 0.79905367 -1.2495385 -3.455403 -8.788194 -24.76851 -12.947388,5
-319.03888 109.828926 -25.631495 -10.648733 -12.850781 -27.337051 -0.5453714 -0.9349018 -7.126377 19.64006 39.220123 43.283978 31.923523 2.292439 -18.926756 -21.154299 -9.264341 7.907661 12.643231 5.5494685,2
-280.96732 164.48796 12.1863 9.033604 26.587908 18.345549 1.0153916 -6.0634375 4.7297792 8.364726 -4.760841 -13.944719 -6.607688 0.41686264 -3.00916 -10.596918 -10.288815 -3.757428 -6.8208394 -14.513094,0
-249.17317 46.62993 -16.933308 34.600513 -14.894951 2.6516066 -15.690166 -4.78978 -12.518484 12.758908 4.790976 27.953196 31.700958 32.56965 14.935712 -2.754217 -17.124092 -4.4107113 13.877106 13.936304,1
-262.97244 158.84831 -51.025658 4.387672 17.601442 1.9301138 12.058581 11.29124 -6.9809794 -3.25446 1.5217371 10.076529 17.100212 0.21422122 -20.43763 -31.391785 -33.88512 -36.035507 -24.349169 -18.863316,2
-243.93341 100.99362 -100.179405 -19.320803 -25.637533 -22.723082 -24.988827 -26.041836 2.9673173 6.0600595 22.181606 37.39438 27.019447 -1.6715633 -20.866726 -18.89504 -1.8190281 17.503004 18.62766 8.154341,3
-325.22717 171.05319 60.664787 26.827257 22.267492 23.063774 1.8646426 -3.0245528 0.26250598 4.9525933 -2.6442401 -7.2112293 -8.90129 -2.857501 -2.4955177 -4.63212 -2.9667828 -0.34574044 1.7735065 2.6042802,0
